,ID,lat,long,Sea_level.mm,C,year
5407,396,34.227,-77.953,7045,N,1952
7955,288,43.08,-70.742,7006,N,1952
4801,270,29.233,-81.0,NA,N,1952
583,390,53.9,-166.533,7076,N,1952
6885,366,40.467,-74.008,6993,N,1952
5956,360,38.873,-77.022,6892,N,1952
2513,10,37.807,-122.465,7021,N,1952
4696,363,25.768,-80.132,NA,N,1952
5647,462,37.567,-77.45,7154,N,1952
8264,332,44.903,-66.982,6966,N,1952
4560,188,24.555,-81.807,7102,N,1952
3479,538,28.022,-97.047,6849,N,1952
4063,246,30.403,-87.21,6981,N,1952
6444,224,38.782,-75.12,NA,N,1952
6049,412,38.317,-76.452,7020,N,1952
6773,180,39.355,-74.418,6940,N,1952
8137,525,44.392,-68.205,7033,N,1952
1363,405,58.298,-134.412,7178,N,1952
1122,445,59.548,-139.733,6997,N,1952
5218,234,32.782,-79.925,6990,N,1952
151,155,21.307,-157.867,7025,N,1952
8055,183,43.657,-70.247,7077,N,1952
1711,384,48.547,-123.01,6989,N,1952
3264,158,32.713,-117.173,7001,N,1952
3013,245,33.72,-118.272,7025,N,1952
7592,351,41.505,-71.327,7039,N,1952
3870,526,29.263,-89.957,6724,N,1952
281,521,20.895,-156.477,6941,N,1952
5580,399,36.822,-76.293,6860,N,1952
3693,161,29.31,-94.793,7023,N,1952
6258,148,39.267,-76.578,6998,N,1952
5718,299,36.947,-76.33,6991,N,1952
6334,636,37.165,-75.988,6880,N,1952
6579,135,39.933,-75.142,6924,N,1952
4354,520,27.76,-82.627,7008,N,1952
1543,385,48.367,-124.612,7056,N,1952
5119,395,32.033,-80.902,7023,N,1952
4898,316,30.393,-81.432,7031,N,1952
2765,508,35.177,-120.76,7014,N,1952
3813,440,29.372,-91.385,6882,N,1952
2920,377,34.008,-118.5,6977,N,1952
7428,429,41.36,-72.09,6993,N,1952
1867,127,47.602,-122.338,7035,N,1952
1282,495,59.45,-135.327,7419,N,1952
492,487,51.863,-176.632,7103,N,1952
7293,362,40.793,-73.782,7061,N,1952
1544,385,48.367,-124.612,7076,N,1953
7429,429,41.36,-72.09,7002,N,1953
3871,526,29.263,-89.957,6725,N,1953
3014,245,33.72,-118.272,7013,N,1953
282,521,20.895,-156.477,6934,N,1953
5581,399,36.822,-76.293,6861,N,1953
3694,161,29.31,-94.793,7028,N,1953
3265,158,32.713,-117.173,7007,N,1953
7956,288,43.08,-70.742,7007,N,1953
6580,135,39.933,-75.142,6904,N,1953
4253,428,29.135,-83.032,6964,N,1953
7294,362,40.793,-73.782,7058,N,1953
7047,12,40.7,-74.013,6966,N,1953
7866,235,42.353,-71.053,7061,N,1953
4355,520,27.76,-82.627,7037,N,1953
6145,311,38.983,-76.48,6938,N,1953
7698,367,41.523,-70.672,6959,N,1953
584,390,53.9,-166.533,7118,N,1953
7593,351,41.505,-71.327,7052,N,1953
493,487,51.863,-176.632,7108,N,1953
8056,183,43.657,-70.247,7071,N,1953
5719,299,36.947,-76.33,6992,N,1953
5957,360,38.873,-77.022,6896,N,1953
2514,10,37.807,-122.465,6966,N,1953
6886,366,40.467,-74.008,7003,N,1953
4697,363,25.768,-80.132,NA,N,1953
6335,636,37.165,-75.988,6885,N,1953
5648,462,37.567,-77.45,7076,N,1953
8265,332,44.903,-66.982,6970,N,1953
5120,395,32.033,-80.902,7022,N,1953
4561,188,24.555,-81.807,NA,N,1953
3480,538,28.022,-97.047,6852,N,1953
4064,246,30.403,-87.21,7000,N,1953
6774,180,39.355,-74.418,6940,N,1953
6445,224,38.782,-75.12,6974,N,1953
3814,440,29.372,-91.385,6879,N,1953
6050,412,38.317,-76.452,7031,N,1953
2591,437,37.772,-122.298,7012,N,1953
8138,525,44.392,-68.205,7030,N,1953
1364,405,58.298,-134.412,7183,N,1953
5219,234,32.782,-79.925,6977,N,1953
1123,445,59.548,-139.733,7023,N,1953
7148,519,41.048,-71.96,7009,N,1953
152,155,21.307,-157.867,7011,N,1953
1712,384,48.547,-123.01,7021,N,1953
4802,270,29.233,-81.0,NA,N,1953
1283,495,59.45,-135.327,7453,N,1953
1462,225,55.332,-131.625,7110,N,1953
5038,112,30.672,-81.465,7142,N,1953
1202,426,57.052,-135.342,7086,N,1953
4899,316,30.393,-81.432,7032,N,1953
7507,430,41.807,-71.4,NA,N,1953
397,300,19.73,-155.055,6957,N,1953
1868,127,47.602,-122.338,7054,N,1953
2005,265,46.207,-123.768,6974,N,1953
2921,377,34.008,-118.5,6951,N,1953
3337,497,26.06,-97.215,6936,N,1953
6259,148,39.267,-76.578,7013,N,1953
5408,396,34.227,-77.953,7024,N,1953
5785,597,37.247,-76.5,6921,N,1953
5516,719,34.717,-76.733,7012,N,1953
2240,378,41.745,-124.182,7083,N,1953
3154,256,32.867,-117.257,6978,N,1953
2766,508,35.177,-120.76,7010,N,1953
470,491,52.833,173.2,6974,N,1953
3015,245,33.72,-118.272,7035,N,1954
5582,399,36.822,-76.293,6827,N,1954
3338,497,26.06,-97.215,6918,N,1954
4562,188,24.555,-81.807,7091,N,1954
7295,362,40.793,-73.782,7039,N,1954
6051,412,38.317,-76.452,6997,N,1954
7430,429,41.36,-72.09,7000,N,1954
7594,351,41.505,-71.327,NA,N,1954
1713,384,48.547,-123.01,7038,N,1954
3815,440,29.372,-91.385,6841,N,1954
5649,462,37.567,-77.45,6996,N,1954
3266,158,32.713,-117.173,7013,N,1954
1463,225,55.332,-131.625,7092,N,1954
8057,183,43.657,-70.247,7087,N,1954
2767,508,35.177,-120.76,7029,N,1954
1365,405,58.298,-134.412,7095,N,1954
5786,597,37.247,-76.5,6887,N,1954
8139,525,44.392,-68.205,7032,N,1954
2592,437,37.772,-122.298,7028,N,1954
2006,265,46.207,-123.768,6978,N,1954
6775,180,39.355,-74.418,6913,N,1954
3078,717,33.75,-118.117,6910,N,1954
5039,112,30.672,-81.465,7145,N,1954
3872,526,29.263,-89.957,6692,N,1954
3481,538,28.022,-97.047,NA,N,1954
494,487,51.863,-176.632,7065,N,1954
4947,716,30.35,-81.617,7037,N,1954
4065,246,30.403,-87.21,6967,N,1954
153,155,21.307,-157.867,7026,N,1954
471,491,52.833,173.2,6985,N,1954
6887,366,40.467,-74.008,6979,N,1954
6446,224,38.782,-75.12,6949,N,1954
5220,234,32.782,-79.925,6975,N,1954
1124,445,59.548,-139.733,6968,N,1954
5409,396,34.227,-77.953,7009,N,1954
283,521,20.895,-156.477,6956,N,1954
7048,12,40.7,-74.013,6943,N,1954
6336,636,37.165,-75.988,6852,N,1954
7867,235,42.353,-71.053,7060,N,1954
1869,127,47.602,-122.338,7074,N,1954
2515,10,37.807,-122.465,6981,N,1954
1284,495,59.45,-135.327,7339,N,1954
2241,378,41.745,-124.182,7115,N,1954
5958,360,38.873,-77.022,6837,N,1954
4356,520,27.76,-82.627,7021,N,1954
2922,377,34.008,-118.5,6955,N,1954
6146,311,38.983,-76.48,6904,N,1954
7699,367,41.523,-70.672,6962,N,1954
4900,316,30.393,-81.432,7020,N,1954
7149,519,41.048,-71.96,7000,N,1954
4803,270,29.233,-81.0,NA,N,1954
5720,299,36.947,-76.33,6959,N,1954
6260,148,39.267,-76.578,6974,N,1954
4698,363,25.768,-80.132,NA,N,1954
6581,135,39.933,-75.142,6856,N,1954
3155,256,32.867,-117.257,NA,N,1954
8266,332,44.903,-66.982,6968,N,1954
4254,428,29.135,-83.032,6944,N,1954
7957,288,43.08,-70.742,7018,N,1954
585,390,53.9,-166.533,7051,N,1954
1545,385,48.367,-124.612,7080,N,1954
7508,430,41.807,-71.4,NA,N,1954
5517,719,34.717,-76.733,7008,N,1954
398,300,19.73,-155.055,6995,N,1954
1203,426,57.052,-135.342,7060,N,1954
5121,395,32.033,-80.902,7022,N,1954
3695,161,29.31,-94.793,6976,N,1954
1285,495,59.45,-135.327,7301,N,1955
3016,245,33.72,-118.272,7000,N,1955
6776,180,39.355,-74.418,6944,N,1955
6337,636,37.165,-75.988,6873,N,1955
5721,299,36.947,-76.33,6998,N,1955
8267,332,44.903,-66.982,6966,N,1955
5650,462,37.567,-77.45,7109,N,1955
5787,597,37.247,-76.5,6927,N,1955
3873,526,29.263,-89.957,6733,N,1955
4948,716,30.35,-81.617,7046,N,1955
3482,538,28.022,-97.047,NA,N,1955
3544,725,28.948,-95.308,6619,N,1955
2516,10,37.807,-122.465,6952,N,1955
42,756,21.953,-159.355,6889,N,1955
4563,188,24.555,-81.807,7095,N,1955
4066,246,30.403,-87.21,6989,N,1955
6888,366,40.467,-74.008,7003,N,1955
472,491,52.833,173.2,6932,N,1955
7700,367,41.523,-70.672,6970,N,1955
2768,508,35.177,-120.76,6996,N,1955
4699,363,25.768,-80.132,7005,N,1955
1870,127,47.602,-122.338,7000,N,1955
6447,224,38.782,-75.12,6965,N,1955
5959,360,38.873,-77.022,6886,N,1955
5040,112,30.672,-81.465,7163,N,1955
6261,148,39.267,-76.578,7006,N,1955
6052,412,38.317,-76.452,7028,N,1955
5122,395,32.033,-80.902,7046,N,1955
3339,497,26.06,-97.215,6933,N,1955
5410,396,34.227,-77.953,7073,N,1955
284,521,20.895,-156.477,6872,N,1955
1546,385,48.367,-124.612,6990,N,1955
1204,426,57.052,-135.342,7011,N,1955
7958,288,43.08,-70.742,7012,N,1955
399,300,19.73,-155.055,6917,N,1955
4255,428,29.135,-83.032,6956,N,1955
6582,135,39.933,-75.142,6901,N,1955
3696,161,29.31,-94.793,7028,N,1955
7868,235,42.353,-71.053,7066,N,1955
3156,256,32.867,-117.257,NA,N,1955
7049,12,40.7,-74.013,6965,N,1955
2242,378,41.745,-124.182,7053,N,1955
7509,430,41.807,-71.4,NA,N,1955
6147,311,38.983,-76.48,6922,N,1955
4357,520,27.76,-82.627,7027,N,1955
4901,316,30.393,-81.432,7042,N,1955
7150,519,41.048,-71.96,7024,N,1955
4804,270,29.233,-81.0,NA,N,1955
2923,377,34.008,-118.5,6938,N,1955
3267,158,32.713,-117.173,6982,N,1955
7431,429,41.36,-72.09,7007,N,1955
5583,399,36.822,-76.293,6865,N,1955
1366,405,58.298,-134.412,7058,N,1955
8140,525,44.392,-68.205,7030,N,1955
2593,437,37.772,-122.298,6978,N,1955
3079,717,33.75,-118.117,6883,N,1955
5221,234,32.782,-79.925,7012,N,1955
2007,265,46.207,-123.768,6917,N,1955
5518,719,34.717,-76.733,7057,N,1955
154,155,21.307,-157.867,6952,N,1955
7595,351,41.505,-71.327,NA,N,1955
495,487,51.863,-176.632,7066,N,1955
8058,183,43.657,-70.247,7080,N,1955
1714,384,48.547,-123.01,6974,N,1955
1464,225,55.332,-131.625,7024,N,1955
7296,362,40.793,-73.782,7048,N,1955
1125,445,59.548,-139.733,6929,N,1955
3816,440,29.372,-91.385,6897,N,1955
4805,270,29.233,-81.0,NA,N,1956
5584,399,36.822,-76.293,6894,N,1956
5222,234,32.782,-79.925,6955,N,1956
5722,299,36.947,-76.33,7016,N,1956
4700,363,25.768,-80.132,6998,N,1956
2594,437,37.772,-122.298,7017,N,1956
2008,265,46.207,-123.768,6951,N,1956
4949,716,30.35,-81.617,6995,N,1956
2517,10,37.807,-122.465,6974,N,1956
5123,395,32.033,-80.902,6992,N,1956
5788,597,37.247,-76.5,6949,N,1956
5651,462,37.567,-77.45,7014,N,1956
4902,316,30.393,-81.432,6991,N,1956
5041,112,30.672,-81.465,7119,N,1956
5411,396,34.227,-77.953,7032,N,1956
1871,127,47.602,-122.338,7043,N,1956
2243,378,41.745,-124.182,7067,N,1956
5519,719,34.717,-76.733,7020,N,1956
3545,725,28.948,-95.308,6595,N,1956
6583,135,39.933,-75.142,6923,N,1956
3090,766,33.603,-117.882,6972,N,1956
3697,161,29.31,-94.793,6992,N,1956
7050,12,40.7,-74.013,6987,N,1956
1715,384,48.547,-123.01,7004,N,1956
6148,311,38.983,-76.48,6948,N,1956
1286,495,59.45,-135.327,7282,N,1956
7869,235,42.353,-71.053,7069,N,1956
400,300,19.73,-155.055,6982,N,1956
6448,224,38.782,-75.12,6998,N,1956
1465,225,55.332,-131.625,7025,N,1956
3340,497,26.06,-97.215,6907,N,1956
6262,148,39.267,-76.578,7026,N,1956
3157,256,32.867,-117.257,6960,N,1956
7297,362,40.793,-73.782,7059,N,1956
285,521,20.895,-156.477,6915,N,1956
5960,360,38.873,-77.022,6908,N,1956
473,491,52.833,173.2,6995,N,1956
496,487,51.863,-176.632,7062,N,1956
2924,377,34.008,-118.5,6947,N,1956
3817,440,29.372,-91.385,6912,N,1956
3874,526,29.263,-89.957,6720,N,1956
7432,429,41.36,-72.09,7006,N,1956
7510,430,41.807,-71.4,NA,N,1956
7701,367,41.523,-70.672,6969,N,1956
586,757,53.88,-166.537,7035,N,1956
4358,520,27.76,-82.627,6994,N,1956
6338,636,37.165,-75.988,6908,N,1956
1547,385,48.367,-124.612,7009,N,1956
3268,158,32.713,-117.173,6991,N,1956
7596,351,41.505,-71.327,7050,N,1956
7814,775,41.767,-70.5,7017,N,1956
7959,288,43.08,-70.742,7010,N,1956
7151,519,41.048,-71.96,7031,N,1956
7657,776,41.742,-70.617,6978,N,1956
1126,445,59.548,-139.733,6928,N,1956
6777,180,39.355,-74.418,6971,N,1956
4564,188,24.555,-81.807,7092,N,1956
1367,405,58.298,-134.412,7056,N,1956
3483,538,28.022,-97.047,NA,N,1956
2769,508,35.177,-120.76,7005,N,1956
3017,245,33.72,-118.272,7015,N,1956
1205,426,57.052,-135.342,7005,N,1956
8268,332,44.903,-66.982,6998,N,1956
8141,525,44.392,-68.205,7023,N,1956
155,155,21.307,-157.867,6988,N,1956
6053,412,38.317,-76.452,7054,N,1956
43,756,21.953,-159.355,6920,N,1956
4067,246,30.403,-87.21,6974,N,1956
6889,366,40.467,-74.008,7013,N,1956
4256,428,29.135,-83.032,6945,N,1956
3080,717,33.75,-118.117,6908,N,1956
8059,183,43.657,-70.247,7069,N,1956
1287,495,59.45,-135.327,7285,N,1957
5223,234,32.782,-79.925,7032,N,1957
1127,445,59.548,-139.733,6928,N,1957
3875,526,29.263,-89.957,6800,N,1957
1368,405,58.298,-134.412,7050,N,1957
6339,636,37.165,-75.988,6889,N,1957
7433,429,41.36,-72.09,6976,N,1957
6584,135,39.933,-75.142,6869,N,1957
1548,385,48.367,-124.612,7049,N,1957
2009,265,46.207,-123.768,6957,N,1957
7511,430,41.807,-71.4,6977,N,1957
1206,426,57.052,-135.342,7010,N,1957
2244,378,41.745,-124.182,7110,N,1957
4257,428,29.135,-83.032,7012,N,1957
3081,717,33.75,-118.117,6963,N,1957
2595,437,37.772,-122.298,7054,N,1957
4701,363,25.768,-80.132,7034,N,1957
3091,766,33.603,-117.882,7029,N,1957
4068,246,30.403,-87.21,7041,N,1957
5723,299,36.947,-76.33,6998,N,1957
6890,366,40.467,-74.008,6977,N,1957
7051,12,40.7,-74.013,6936,N,1957
7152,519,41.048,-71.96,7007,N,1957
6449,224,38.782,-75.12,6950,N,1957
2925,377,34.008,-118.5,7016,N,1957
3018,245,33.72,-118.272,7066,N,1957
4806,270,29.233,-81.0,NA,N,1957
5520,719,34.717,-76.733,7049,N,1957
5789,597,37.247,-76.5,6921,N,1957
5412,396,34.227,-77.953,7082,N,1957
3158,256,32.867,-117.257,7036,N,1957
5652,462,37.567,-77.45,7095,N,1957
5585,399,36.822,-76.293,6868,N,1957
6778,180,39.355,-74.418,6920,N,1957
1466,225,55.332,-131.625,7043,N,1957
7298,362,40.793,-73.782,7021,N,1957
5961,360,38.873,-77.022,6878,N,1957
7597,351,41.505,-71.327,7026,N,1957
2770,508,35.177,-120.76,7076,N,1957
474,491,52.833,173.2,6987,N,1957
8269,332,44.903,-66.982,NA,N,1957
44,756,21.953,-159.355,6947,N,1957
7815,775,41.767,-70.5,6988,N,1957
1872,127,47.602,-122.338,7070,N,1957
7960,288,43.08,-70.742,6976,N,1957
7870,235,42.353,-71.053,7032,N,1957
4903,316,30.393,-81.432,7068,N,1957
401,300,19.73,-155.055,6992,N,1957
3484,538,28.022,-97.047,NA,N,1957
156,155,21.307,-157.867,7011,N,1957
8142,525,44.392,-68.205,7015,N,1957
3341,497,26.06,-97.215,6973,N,1957
6263,148,39.267,-76.578,6997,N,1957
4565,188,24.555,-81.807,7117,N,1957
5042,112,30.672,-81.465,7195,N,1957
497,487,51.863,-176.632,NA,N,1957
2518,10,37.807,-122.465,7031,N,1957
7658,776,41.742,-70.617,6959,N,1957
286,521,20.895,-156.477,6936,N,1957
4950,716,30.35,-81.617,7087,N,1957
3269,158,32.713,-117.173,7064,N,1957
3546,725,28.948,-95.308,6695,N,1957
4359,520,27.76,-82.627,7063,N,1957
3698,161,29.31,-94.793,7087,N,1957
587,757,53.88,-166.537,7101,N,1957
8060,183,43.657,-70.247,7044,N,1957
1716,384,48.547,-123.01,7023,N,1957
6149,311,38.983,-76.48,6916,N,1957
5124,395,32.033,-80.902,7071,N,1957
3818,440,29.372,-91.385,6993,N,1957
7702,367,41.523,-70.672,6957,N,1957
6054,412,38.317,-76.452,7025,N,1957
157,155,21.307,-157.867,7042,N,1958
6891,366,40.467,-74.008,7036,N,1958
216,823,21.432,-157.79,6932,N,1958
4069,246,30.403,-87.21,7011,N,1958
8061,183,43.657,-70.247,7103,N,1958
45,756,21.953,-159.355,6957,N,1958
8143,525,44.392,-68.205,7068,N,1958
5653,462,37.567,-77.45,7141,N,1958
6779,180,39.355,-74.418,6976,N,1958
3485,538,28.022,-97.047,NA,N,1958
8270,332,44.903,-66.982,NA,N,1958
1128,445,59.548,-139.733,6999,N,1958
3597,828,29.285,-94.788,6830,N,1958
2519,10,37.807,-122.465,7075,N,1958
3547,725,28.948,-95.308,6689,N,1958
1207,426,57.052,-135.342,7068,N,1958
4702,363,25.768,-80.132,6998,N,1958
2010,265,46.207,-123.768,6994,N,1958
6585,135,39.933,-75.142,6920,N,1958
4951,716,30.35,-81.617,7052,N,1958
3019,245,33.72,-118.272,7090,N,1958
7961,288,43.08,-70.742,7038,N,1958
7598,351,41.505,-71.327,7082,N,1958
5586,399,36.822,-76.293,6901,N,1958
2596,437,37.772,-122.298,7108,N,1958
5224,234,32.782,-79.925,6984,N,1958
475,491,52.833,173.2,7000,N,1958
498,487,51.863,-176.632,7208,N,1958
3876,526,29.263,-89.957,6780,N,1958
5125,395,32.033,-80.902,7019,N,1958
5337,862,33.683,-78.885,6864,N,1958
3819,440,29.372,-91.385,6981,N,1958
7703,367,41.523,-70.672,7014,N,1958
7512,430,41.807,-71.4,7041,N,1958
588,757,53.88,-166.537,7151,N,1958
3270,158,32.713,-117.173,7079,N,1958
2245,378,41.745,-124.182,7153,N,1958
7659,776,41.742,-70.617,7018,N,1958
7434,429,41.36,-72.09,7036,N,1958
3082,717,33.75,-118.117,6998,N,1958
7341,856,40.893,-73.782,7030,N,1958
3159,256,32.867,-117.257,7055,N,1958
287,521,20.895,-156.477,6971,N,1958
3092,766,33.603,-117.882,7053,N,1958
7052,12,40.7,-74.013,7007,N,1958
3699,161,29.31,-94.793,7079,N,1958
7153,519,41.048,-71.96,7068,N,1958
402,300,19.73,-155.055,7027,N,1958
7816,775,41.767,-70.5,7061,N,1958
3342,497,26.06,-97.215,6990,N,1958
4807,270,29.233,-81.0,NA,N,1958
7212,875,41.167,-72.2,7055,N,1958
7222,848,40.95,-73.077,6996,N,1958
5413,396,34.227,-77.953,7053,N,1958
5043,112,30.672,-81.465,7145,N,1958
4904,316,30.393,-81.432,7027,N,1958
5521,719,34.717,-76.733,7011,N,1958
7871,235,42.353,-71.053,7108,N,1958
7299,362,40.793,-73.782,7083,N,1958
1288,495,59.45,-135.327,7311,N,1958
1369,405,58.298,-134.412,7086,N,1958
4258,428,29.135,-83.032,6969,N,1958
6264,148,39.267,-76.578,7017,N,1958
6055,412,38.317,-76.452,7057,N,1958
1549,385,48.367,-124.612,7096,N,1958
6340,636,37.165,-75.988,6919,N,1958
4360,520,27.76,-82.627,7033,N,1958
2926,377,34.008,-118.5,7038,N,1958
6450,224,38.782,-75.12,6997,N,1958
2771,508,35.177,-120.76,7078,N,1958
1467,225,55.332,-131.625,7105,N,1958
4566,188,24.555,-81.807,7103,N,1958
5790,597,37.247,-76.5,6958,N,1958
6150,311,38.983,-76.48,6949,N,1958
5962,360,38.873,-77.022,6911,N,1958
5724,299,36.947,-76.33,7033,N,1958
1717,384,48.547,-123.01,7095,N,1958
1873,127,47.602,-122.338,7112,N,1958
3271,158,32.713,-117.173,7077,N,1959
5044,112,30.672,-81.465,7164,N,1959
6892,366,40.467,-74.008,6973,N,1959
7817,775,41.767,-70.5,6995,N,1959
5587,399,36.822,-76.293,6833,N,1959
4905,316,30.393,-81.432,7057,N,1959
4070,246,30.403,-87.21,7032,N,1959
5725,299,36.947,-76.33,6959,N,1959
7704,367,41.523,-70.672,6950,N,1959
3820,440,29.372,-91.385,6967,N,1959
3083,717,33.75,-118.117,7011,N,1959
7660,776,41.742,-70.617,NA,N,1959
5126,395,32.033,-80.902,7036,N,1959
499,487,51.863,-176.632,7172,N,1959
476,491,52.833,173.2,6982,N,1959
1874,127,47.602,-122.338,7074,N,1959
589,757,53.88,-166.537,NA,N,1959
4361,520,27.76,-82.627,7056,N,1959
7053,12,40.7,-74.013,6941,N,1959
3093,766,33.603,-117.882,7055,N,1959
5414,396,34.227,-77.953,7065,N,1959
7213,875,41.167,-72.2,6994,N,1959
5791,597,37.247,-76.5,6898,N,1959
7223,848,40.95,-73.077,6914,N,1959
7300,362,40.793,-73.782,7018,N,1959
3160,256,32.867,-117.257,7059,N,1959
7342,856,40.893,-73.782,6969,N,1959
4808,270,29.233,-81.0,NA,N,1959
5338,862,33.683,-78.885,6841,N,1959
2597,437,37.772,-122.298,7036,N,1959
1468,225,55.332,-131.625,7070,N,1959
5522,719,34.717,-76.733,6986,N,1959
2927,377,34.008,-118.5,7027,N,1959
5225,234,32.782,-79.925,6993,N,1959
7154,519,41.048,-71.96,NA,N,1959
6451,224,38.782,-75.12,6944,N,1959
3877,526,29.263,-89.957,6770,N,1959
7435,429,41.36,-72.09,6973,N,1959
6341,636,37.165,-75.988,6866,N,1959
7513,430,41.807,-71.4,6981,N,1959
2246,378,41.745,-124.182,7077,N,1959
4567,188,24.555,-81.807,7107,N,1959
7599,351,41.505,-71.327,7022,N,1959
1550,385,48.367,-124.612,NA,N,1959
3343,497,26.06,-97.215,6961,N,1959
6265,148,39.267,-76.578,6995,N,1959
3433,919,26.068,-97.152,6949,N,1959
3598,828,29.285,-94.788,6830,N,1959
1208,426,57.052,-135.342,7046,N,1959
6780,180,39.355,-74.418,6918,N,1959
8271,332,44.903,-66.982,6961,N,1959
217,823,21.432,-157.79,6984,N,1959
2011,265,46.207,-123.768,6952,N,1959
1370,405,58.298,-134.412,7053,N,1959
2772,508,35.177,-120.76,7079,N,1959
46,756,21.953,-159.355,6990,N,1959
1129,445,59.548,-139.733,6982,N,1959
8062,183,43.657,-70.247,7043,N,1959
3464,922,27.827,-97.05,6997,N,1959
403,300,19.73,-155.055,7052,N,1959
4703,363,25.768,-80.132,7017,N,1959
158,155,21.307,-157.867,7097,N,1959
6056,412,38.317,-76.452,7010,N,1959
8144,525,44.392,-68.205,7017,N,1959
7962,288,43.08,-70.742,6981,N,1959
3548,725,28.948,-95.308,6690,N,1959
3486,538,28.022,-97.047,NA,N,1959
2520,10,37.807,-122.465,7021,N,1959
1289,495,59.45,-135.327,7262,N,1959
6586,135,39.933,-75.142,NA,N,1959
4952,716,30.35,-81.617,7108,N,1959
3020,245,33.72,-118.272,7087,N,1959
6151,311,38.983,-76.48,6926,N,1959
7872,235,42.353,-71.053,7037,N,1959
4259,428,29.135,-83.032,6974,N,1959
288,521,20.895,-156.477,7004,N,1959
5963,360,38.873,-77.022,6859,N,1959
5654,462,37.567,-77.45,7014,N,1959
1718,384,48.547,-123.01,7009,N,1959
3700,161,29.31,-94.793,7081,N,1959
8272,332,44.903,-66.982,7010,N,1960
7436,429,41.36,-72.09,7025,N,1960
5339,862,33.683,-78.885,6855,N,1960
3549,725,28.948,-95.308,6667,N,1960
4953,716,30.35,-81.617,7165,N,1960
3487,538,28.022,-97.047,NA,N,1960
7343,856,40.893,-73.782,7026,N,1960
3878,526,29.263,-89.957,NA,N,1960
2598,437,37.772,-122.298,7016,N,1960
47,756,21.953,-159.355,6939,N,1960
6342,636,37.165,-75.988,6935,N,1960
7224,848,40.95,-73.077,6973,N,1960
2928,377,34.008,-118.5,6969,N,1960
2773,508,35.177,-120.76,NA,N,1960
7301,362,40.793,-73.782,7070,N,1960
5964,360,38.873,-77.022,6910,N,1960
3161,256,32.867,-117.257,6985,N,1960
5226,234,32.782,-79.925,7034,N,1960
2521,10,37.807,-122.465,6973,N,1960
3599,828,29.285,-94.788,6824,N,1960
404,300,19.73,-155.055,6988,N,1960
3465,922,27.827,-97.05,6967,N,1960
7514,430,41.807,-71.4,7031,N,1960
1719,384,48.547,-123.01,6997,N,1960
477,491,52.833,173.2,6988,N,1960
1875,127,47.602,-122.338,7069,N,1960
289,521,20.895,-156.477,NA,N,1960
3701,161,29.31,-94.793,7061,N,1960
6266,148,39.267,-76.578,7033,N,1960
500,487,51.863,-176.632,7151,N,1960
5415,396,34.227,-77.953,NA,N,1960
4906,316,30.393,-81.432,7117,N,1960
5045,112,30.672,-81.465,7210,N,1960
7818,775,41.767,-70.5,7031,N,1960
6152,311,38.983,-76.48,6957,N,1960
3344,497,26.06,-97.215,6964,N,1960
3758,920,29.705,-93.853,6990,N,1960
7873,235,42.353,-71.053,7091,N,1960
6021,971,38.133,-76.533,7007,N,1960
5127,395,32.033,-80.902,7076,N,1960
3821,440,29.372,-91.385,6970,N,1960
8145,525,44.392,-68.205,7065,N,1960
2247,378,41.745,-124.182,7080,N,1960
4568,188,24.555,-81.807,7124,N,1960
159,155,21.307,-157.867,6995,N,1960
7600,351,41.505,-71.327,7077,N,1960
8063,183,43.657,-70.247,7090,N,1960
7963,288,43.08,-70.742,7045,N,1960
7661,776,41.742,-70.617,6985,N,1960
3272,158,32.713,-117.173,7018,N,1960
590,757,53.88,-166.537,7102,N,1960
218,823,21.432,-157.79,6886,N,1960
3434,919,26.068,-97.152,6929,N,1960
4362,520,27.76,-82.627,7049,N,1960
7705,367,41.523,-70.672,6991,N,1960
6057,412,38.317,-76.452,7056,N,1960
5792,597,37.247,-76.5,6964,N,1960
1551,385,48.367,-124.612,7024,N,1960
4260,428,29.135,-83.032,6973,N,1960
5588,399,36.822,-76.293,6904,N,1960
3094,766,33.603,-117.882,6983,N,1960
1209,426,57.052,-135.342,7057,N,1960
3021,245,33.72,-118.272,7023,N,1960
5655,462,37.567,-77.45,7147,N,1960
7054,12,40.7,-74.013,6999,N,1960
5726,299,36.947,-76.33,7034,N,1960
3084,717,33.75,-118.117,6954,N,1960
6781,180,39.355,-74.418,6961,N,1960
6587,135,39.933,-75.142,NA,N,1960
4071,246,30.403,-87.21,7018,N,1960
7155,519,41.048,-71.96,7040,N,1960
4809,270,29.233,-81.0,NA,N,1960
6893,366,40.467,-74.008,7035,N,1960
1371,405,58.298,-134.412,7074,N,1960
2012,265,46.207,-123.768,6915,N,1960
1130,445,59.548,-139.733,6993,N,1960
1469,225,55.332,-131.625,7078,N,1960
5523,719,34.717,-76.733,7051,N,1960
4704,363,25.768,-80.132,7055,N,1960
7214,875,41.167,-72.2,7063,N,1960
6452,224,38.782,-75.12,7008,N,1960
1290,495,59.45,-135.327,7295,N,1960
5524,719,34.717,-76.733,7017,N,1961
3345,497,26.06,-97.215,7019,N,1961
3273,158,32.713,-117.173,7011,N,1961
3022,245,33.72,-118.272,7009,N,1961
6022,971,38.133,-76.533,6993,N,1961
1210,426,57.052,-135.342,7053,N,1961
501,487,51.863,-176.632,NA,N,1961
3759,920,29.705,-93.853,7072,N,1961
