Name,Year,Dates,Surge_FT,Surge_M,Storm_Tide_FT,Storm_Tide_M,Location,State,Lat,Lon,Confidence
Unnamed,1936,Jul 27- Aug 1,,,6,1.83,"Fort Walton Beach, Panama City, Valparaiso",FL,30.3014,-86.0828,3
Unnamed,1936,Jul 27- Aug 1,,,5.5,1.68,Everglades City,FL,25.8456,-81.3878,3
Unnamed,1938,Aug 10-15,,,5,1.52,Cameron and Vermillion Parishes,LA,29.5953,-92.6301,3
Unnamed,1939,Jun 12-17,,,3.6,1.1,Mobile,AL,,,2
Unnamed,1940,Aug 2-11,,,6.4,1.95,Frenier,LA,30.1075,-90.4231,3
Unnamed,1941,Sep 16-25,,,11,3.35,Matagorda,TX,28.6881,-95.9658,3
Unnamed,1941,Oct 3-14,,,8,2.44,St. Marks,FL,30.1519,-84.2089,3
Unnamed,1941,Oct 3-14,,,4.1,1.25,Everglades City,FL,25.8456,-81.3878,3
Unnamed,1941,Sep 11-16,,,3.25,0.99,NE TX/ SW LA,TX/ LA,,,1
Unnamed,1942,Aug 21-31,,,14.7,4.48,Matagorda and Port Lavaca,TX,28.6419,-96.3225,3
Unnamed,1942,Aug 17-23,,,7,2.13,High Island,TX,29.5506,-94.3858,3
Unnamed,1943,Sep 15-20,,,6,1.83,"HWY 11, near Chef Menteur",LA,30.1275,-89.8672,2
Unnamed,1943,Jul 25-29,,,4,1.22,Galveston,TX,29.2889,-94.7894,2
Unnamed,1944,Oct 12-23,,,12,3.66,Naples,FL,26.1401,-81.8075,3
Unnamed,1945,Aug 24-29,,,15,4.57,Port Lavaca,TX,28.6122,-96.6203,3
Unnamed,1945,Jun 20- Jul 1,,,5,1.52,Tampa (Garcia Avenue Bridge- now Eugene Holtsinger),FL,27.9597,-82.4681,1
Unnamed,1946,Oct 5-14,,,6,1.83,Punta Gorda to Bradenton,FL,27.1292,-82.4728,3
Unnamed,1947,Sep 4-21,,,15.2,4.63,Bay Saint Louis,MS,30.3025,-89.3308,3
Unnamed,1947,Sep 4-21,,,4.7,1.43,Everglades City,FL,25.8456,-81.3878,2
Unnamed,1947,Aug 18-27,,,4,1.22,Galveston (entrance of Galveston Channel),TX,29.3356,-94.7703,1
Unnamed,1948,Sep 1-7,,,6,1.83,MS Coast,MS,30.3931,-88.9303,3
Unnamed,1948,Sep 18-25,,,6,1.83,Key West,FL,24.5472,-81.7853,2
Unnamed,1949,Sep 27- Oct 6,,,11.4,3.47,Houston Ship Channel (Harrisburg),TX,29.6878,-94.9922,2
Unnamed,1949,Sep 3-5,,,4.8,1.46,Mandeville,LA,30.3528,-90.0689,3
Baker,1950,Aug 20- Sep 1,,,6.8,2.07,Apalachicola,FL,29.7208,-84.9811,3
Easy,1950,Sep 1-9,,,8,2.44,Clearwater to Sarasota,FL,27.5094,-82.7211,2
King,1950,Oct 13-19,,,9,2.74,"Bahia Honda (bridge), E of Big Pine Key",FL,24.6547,-81.2817,2
Florence,1953,Sep 23-28,6.5,1.98,,,Panacea,FL,30.0225,-84.3858,3
Gladys,1955,Sep 4-6,,,4.5,1.37,Corpus Christi Bay,TX,27.7997,-97.3911,2
TS #5,1955,Aug 23-30,,,3.6,1.1,Shell Beach,LA,,,3
TS Brenda,1955,Jul 31- Aug 03,,,6,1.83,MS Coast,MS,30.3931,-88.9303,3
Flossy,1956,Sep 21-30,,,13,3.96,Ostrica Lock,LA,29.3683,-89.5297,3
Flossy,1956,Sep 21-30,,,7.4,2.26,Laguna Beach,FL,30.2386,-85.9244,3
TS #1,1956,Jun 12-15,,,4.7,1.43,Biloxi,MS,30.3922,-88.8836,3
Audrey,1957,Jun 25-29,,,13.9,4.24,Oak Grove Ridge,LA,29.7697,-93.4525,2
Bertha,1957,Aug 8-11,,,4.7,1.43,West end of Vermillion Bay,LA,29.7451,-92.1075,3
Debbie,1957,Sep 7-9,,,4,1.22,Apalachee Bay,FL,30.1033,-84.0442,3
Esther,1957,Sep 16-19,,,5,1.52,MS Coast,MS,30.3931,-88.9303,1
TS #1,1957,Jun 8-15,,,3,0.91,Sarasota to Cedar Key,FL,,,3
Alma,1958,Jun 14-16,,,2.9,0.88,S Padre Island,TX,,,4
Ella,1958,Aug 30- Sep 6,,,4,1.22,Port Isabel Coast Guard Station/ S. Padre Is.,TX,,,2
Ella,1958,Aug 30- Sep 6,,,2,0.61,Key West,FL,,,3
Arlene,1959,May 28- Jun 2,,,3,0.91,Pt. Au Fer,LA,,,3
Beulah,1959,Jun 15-18,,,3,0.91,Lower Texas Coast,TX,,,2
Debra,1959,Jul 23-28,,,7.9,2.41,Morgan Point,TX,29.6731,-94.9878,3
Irene,1959,Oct 6-9,4,1.22,,,Cedar Key,FL,29.1397,-83.0419,3
Judith,1959,Oct 17-21,3,0.91,,,Naples,FL,,,3
Donna,1960,Aug 29- Sep 14,,,13.5,4.11,Upper Matecumbe Key,FL,24.9133,-80.6353,2
Ethel,1960,Sep 14-17,,,7,2.13,Quarantine Bay,LA,29.3825,-89.5189,3
TS #1,1960,Jun 22-29,,,3.5,1.07,Corpus Christi Bay,TX,,,4
Carla,1961,Sep 3-16,,,22,6.71,Port Lavaca,TX,28.6122,-96.6203,2
Cindy,1963,Sep 16-20,,,6,1.83,Near Mouth of Calcasieu River,LA,29.7622,-93.3442,2
Abby,1964,Aug 5-8,,,4,1.22,Matagorda to Freeport,TX,28.8044,-95.5483,2
Cleo,1964,Aug 20- Sep 5,,,1.3,0.4,Tampa,FL,27.941,-82.4573,2
Dora,1964,Aug 28- Sep 16,6,1.83,,,Yankeetown,FL,29.0186,-82.7264,3
Hilda,1964,Sep 28- Oct 5,,,9.8,2.99,Houma Navigation Canal,LA,29.2357,-90.6712,2
Isbell,1964,Oct 8-17,,,4.5,1.37,Key West,FL,24.5453,-81.8108,2
Betsy,1965,Aug 27- Sep 13,,,15.7,4.79,Bohemia (East Landside),LA,29.545,-89.7565,3
Betsy,1965,Aug 27- Sep 13,,,9,2.74,North Key Largo,FL,25.2646,-80.3018,3
Debbie,1965,Sep 24-30,,,6,1.83,Industrial Canal in New Orleans,LA,30.0157,-90.0292,2
TS #1,1965,Jun 11-18,6,1.83,,,Apalachicola (in vicinity),FL,29.7208,-84.9811,2
Alma,1966,Jun 4-14,8.5,2.59,,,New Port Richey to Cedar Key,FL,28.9078,-82.6911,2
Alma,1966,Jun 4-14,,,5,1.52,Fort Myers Beach,FL,26.4501,-81.9497,3
Inez,1966,Sep 21- Oct 11,5,1.52,,,Big Pine Key,FL,24.6719,-81.3397,2
Inez,1966,Sep 21- Oct 11,,,3.1,,Corpus Christi,TX,27.7858,-97.3942,2
Beulah,1967,Sep 5-22,18,5.49,,,Near South Padre Is/ Deer Is Boundary,TX,26.4,-97.2217,2
Abby,1968,Jun 1-13,,,5.6,1.71,Everglades City,FL,25.8456,-81.3878,2
Candy,1968,Jun 22-26,4.5,1.37,,,Palacios (Matagorda County),TX,28.6983,-96.2151,3
Gladys,1968,Oct 13-21,,,6.5,1.98,Between Clearwater and Bayport,FL,28.3801,-82.7056,2
Camille,1969,Aug 14-22,,,24.6,7.5,Pass Christian,MS,30.3158,-89.2475,2
Becky,1970,Jul 19-23,3,0.91,,,Apalachicola to St. Marks,FL,29.914,-84.524,2
Celia,1970,Jul 31- Aug 5,,,11.4,3.47,Ingleside on the Bay,TX,27.8604,-97.2417,3
Ella,1970,Sep 8-13,1.5,0.46,,,South Padre Island,TX,26.1119,-97.1683,2
Felice,1970,Sep 12-17,,,2,,Galveston Channel,TX,29.3091,-94.7937,2
Edith,1971,Sep 5-18,,,9.7,2.96,Cypremort Point,LA,29.7161,-91.8772,2
Edith,1971,Sep 5-18,,,2.5,0.76,South Padre Island,TX,26.1119,-97.1683,2
Fern,1971,Sep 3-13,,,6,1.83,Freeport,TX,28.9439,-95.3094,3
Agnes,1972,Jun 14-23,7,2.13,,,Cedar Key,FL,29.1363,-83.0373,3
Delia,1973,Sep 1-7,,,6.5,1.98,Baytown,TX,29.7335,-94.9781,3
Carmen,1974,Aug 29- Sep 10,10.5,3.2,,,Cocodrie,LA,29.2453,-90.6633,2
Caroline,1975,Aug 24- Sep 1,,,3.75,,Ranger Station at Padre Island near Corpus Christi,TX,27.4772,-97.2738,2
Eloise,1975,Sep 13-24,,,18.2,5.55,Dune Allen Beach,FL,30.3494,-86.2431,2
Anita,1977,Aug 29- Sep 3,,,5.5,1.68,Port Isabel Coast Guard Station/ S. Padre Is.,TX,26.0728,-97.1669,2
Babe,1977,Sep 3-9,,,8.66,2.64,Bayou Petit Caillou,LA,29.1627,-90.6537,2
Debra,1978,Aug 26-29,5.7,1.74,,,West of Atchafalaya Bay through Vermillion Bay,LA,29.7452,-91.6683,2
Bob,1979,Jul 9-16,,,6.3,1.92,Gulfport and Harrison County CD,MS,30.3614,-89.0928,3
Claudette,1979,Jul 15-29,,,4.5,1.37,Sabine Coast Guard Station,TX,29.7286,-93.8708,2
